Age_Group,N,Actual_Dropout_Rate,Predicted_Dropout_Rate,Dropout_Recall,Precision,False_Positive_Rate
Under 20,412,0.20388349514563106,0.14320388349514562,0.38095238095238093,0.5423728813559322,0.08231707317073171
Middle/reference,323,0.3498452012383901,0.4458204334365325,0.7433628318584071,0.5833333333333334,0.2857142857142857
30+,150,0.58,0.8266666666666667,0.9425287356321839,0.6612903225806451,0.6666666666666666
