Comparison_Group,Reference_Group,Demographic_Parity_Difference,Disparate_Impact,Equal_Opportunity_Difference
Under 20,Middle/reference,-0.30261654994138687,0.32121426645091694,-0.3624104509060262
30+,Middle/reference,0.38084623323013417,1.8542592592592593,0.19916590377377674
