Model,ROC-AUC,Recall,F1-score,Precision,Accuracy
XGBoost,0.8256251318225493,0.5,0.605543710021322,0.7675675675675676,0.7909604519774012
Logistic Regression,0.818248927843266,0.4859154929577465,0.6026200873362445,0.7931034482758621,0.7943502824858757
Random Forest,0.8155070188184013,0.6971830985915493,0.6481178396072013,0.6055045871559633,0.7570621468926554
SVM,0.8139603009069392,0.6690140845070423,0.6365159128978225,0.6070287539936102,0.7548022598870057
Decision Tree,0.7928686930233648,0.5140845070422535,0.5983606557377049,0.7156862745098039,0.7785310734463277
